Property_ID,Title,City,Locality,Property_Type,Price_USD,Area_SqFt,Bedrooms,Bathrooms,Year_Built,Listing_Date,Status,Demand_Score,Customer_Rating
PROP-12024,3 BHK Villa for sale in Lincoln Park,chicago,Lincoln Park,VILLA,900855.487447325,2011,3.0,3.0,1988.0,2024-04-20,Active,2,
PROP-11798,Commercial Space / Office in East Austin,austin,East Austin,commercial,8703131.951384986,24012,,6.0,1992.0,2025-06-29,Sold,8,4.6
PROP-11034,5 BHK Villa for sale in South Austin,ATX,South Austin,VILLA,1859101.7323553443,4614,5.0,4.0,2023.0,2025-11-26,Sold,1,4.1
PROP-13457,4 BHK Villa for sale in Pacific Heights,SAN FRANCISCO,Pacific Heights,villa,11851933.378937941,5288,4.0,2.0,,16/07/2025,Active,3,4.4
PROP-12748,4 BHK Apartment for sale in Pacific Heights,san francisco,Pacific Heights,Apartment,2464296.979854892,1284,4.0,1.0,1948.0,2025-06-16,Pending,6,4.6
PROP-12943,1 BHK Apartment for sale in South Beach,MIAMI,South Beach,Apartment,607463.7671009615,1149,1.0,2.0,2015.0,2024-01-03,Active,10,4.7
PROP-11103,Commercial Space / Office in Little Havana,MIAMI,Little Havana,COMMERCIAL,9602342.239742644,19322,,7.0,2003.0,2025-08-07,Pending,2,4.9
PROP-13257,Residential plot of 7387 sqft in East Austin,ATX,East Austin,land,2436801.351398298,7387,,,,2025-01-29,Active,7,3.4
PROP-11031,Commercial Space / Office in Mission District,SF,Mission District,Commercial,23697894.16359915,17419,,2.0,1983.0,2025/01/12,Pending,7,3.9
PROP-12054,5 BHK Villa for sale in Little Havana,MIA,Little Havana,villa,1412813.992709498,3119 sqft,5.0,5.0,1984.0,2025-03-20,Active,5,3.1
PROP-12836,Commercial Space / Office in Lincoln Park,CHI,Lincoln Park,commercial,2240803.671093139,4457,,4.0,2012.0,2024-11-14,Sold,8,4.6
PROP-12089,Commercial Space / Office in Hyde Park,chicago,Hyde Park,Office,4333208.418029777,16673 sqft,,2.0,1980.0,2025-04-06,Active,2,3.8
PROP-10736,3 BHK Villa for sale in Bronx,new york,Bronx,VILLA,3872514.4776681857,4423,,3.0,2011.0,2025-10-17,Active,7,3.4
PROP-11508,Commercial Space / Office in Mission District,san francisco,Mission District,COMMERCIAL,16628647.78255659,12181,,4.0,1963.0,2025-12-01,Sold,2,3.0
PROP-11430,Residential plot of 8055 sqft in Lincoln Park,CHICAGO,Lincoln Park,plot,4859167.904675166,8055,,,,11/12/2024,Active,6,3.0
PROP-12742,5 BHK Villa for sale in Brooklyn,NEW YORK,Brooklyn,Villa,3030962.3938854514,2929,5.0,2.0,1993.0,2025-03-08,Pending,5,4.3
PROP-11672,Residential plot of 8489 sqft in Brickell,MIAMI,Brickell,Plot,4996254 USD,8489,,,,02/05/2025,Active,7,3.4
PROP-11197,Residential plot of 8098 sqft in Bronx,new york,Bronx,land,8890953.894297862,8098,,,,2025-07-22,Active,10,4.4
PROP-11778,4 BHK Apartment for sale in Queens,N.Y.,Queens,apartment,3035136.736953418,2370,4.0,3.0,2020.0,07/02/2024,Pending,2,4.2
PROP-11560,6 BHK Villa for sale in Mission District,san francisco,Mission District,Villa,"$6,236,211",3964,6.0,5.0,2001.0,26/05/2025,Pending,6,3.2
PROP-12619,4 BHK Apartment for sale in River North,Chicago,River North,Apt,749106.3172584231,2302,4.0,2.0,1959.0,2025-09-05,Active,10,4.7
PROP-13351,Residential plot of 3886 sqft in South Austin,ATX,South Austin,Plot,1930507.3865003567,3886,,,,2025-11-14,Pending,2,3.3
PROP-13217,4 BHK Villa for sale in East Austin,austin,East Austin,VILLA,2318288.31927306,5625,4.0,4.0,2010.0,2025-10-27,Active,7,3.6
PROP-10037,Residential plot of 9042 sqft in Downtown,Austin,Downtown,plot,3583790 USD,9042,,,,2024-01-13,Pending,10,4.2
PROP-12930,5 BHK Villa for sale in Marina,san francisco,Marina,villa,2924983.5365593676,3034,5.0,4.0,1993.0,2024/07/15,Sold,4,4.9
PROP-12051,Commercial Space / Office in South Beach,Miami,South Beach,COMMERCIAL,3916907.1459002774,6567,,4.0,2014.0,2025/10/11,Sold,7,4.1
PROP-10927,Residential plot of 5659 sqft in Lincoln Park,Chicago,Lincoln Park,Land,3283927.5142841362,5659,,,,2025-06-21,Pending,10,4.7
PROP-12825,2 BHK Apartment for sale in Brooklyn,N.Y.,Brooklyn,Apartment,1141230.483310474,913 sqft,2.0,3.0,1979.0,2024-03-15,Active,6,4.3
PROP-12331,3 BHK Apartment for sale in River North,CHI,River North,Apartment,432926.34932249633,1140,3.0,1.0,1978.0,2024-11-26,Pending,7,3.0
PROP-10785,Commercial Space / Office in East Austin,austin,East Austin,Office,4751812.006433274,12807,,8.0,1965.0,2024-05-20,Pending,8,3.9
PROP-11176,2 BHK Apartment for sale in South Austin,Austin,South Austin,Apt,1131811.2576920846,2389,2.0,3.0,1987.0,2025-03-30,Active,8,3.3
PROP-13178,4 BHK Apartment for sale in South Beach,miami,South Beach,apartment,689501.056393963,1097,4.0,3.0,1970.0,2025/03/17,Sold,10,4.0
PROP-10866,3 BHK Villa for sale in SOMA,san francisco,SOMA,villa,8082810.107562443,5575,3.0,5.0,1994.0,2024-02-02,Sold,6,3.7
PROP-10585,3 BHK Villa for sale in Bronx,N.Y.,Bronx,Villa,2513115.685918302,2350,3.0,3.0,2018.0,2025-06-16,Active,2,3.9
PROP-13196,6 BHK Villa for sale in Coral Gables,miami,Coral Gables,VILLA,"$1,588,803",1865,6.0,5.0,2007.0,2024-09-21,Pending,2,
PROP-11542,3 BHK Apartment for sale in Brickell,MIAMI,Brickell,apartment,529635.9830156831,972,3.0,1.0,2016.0,2024-01-08,Active,1,4.2
PROP-13487,Residential plot of 7099 sqft in East Austin,AUSTIN,East Austin,land,2340862.5586553207,7099,,,,2024-07-23,Active,1,4.0
PROP-10393,Residential plot of 8139 sqft in Hyde Park,CHICAGO,Hyde Park,Land,2547380.292257096,8139,,,,2024-11-19,Pending,3,4.1
PROP-10299,Residential plot of 1100 sqft in Downtown,AUSTIN,Downtown,Land,437654.7592978672,1100,,,,2024-12-07,Sold,10,4.0
PROP-11041,5 BHK Villa for sale in South Beach,MIAMI,South Beach,villa,1910688.0743365583,2803,5.0,2.0,2022.0,2025-10-28,Active,6,4.6
PROP-12190,3 BHK Villa for sale in Manhattan,NY,Manhattan,villa,5666934.00973705,2988,3.0,2.0,2002.0,2025-02-02,Pending,10,4.7
PROP-11199,6 BHK Villa for sale in Little Havana,Miami,Little Havana,villa,2386864.34271216,5238,6.0,5.0,2021.0,2024-06-24,Active,9,4.4
PROP-11075,4 BHK Villa for sale in SOMA,san francisco,SOMA,VILLA,"$3,656,289",3055 sqft,4.0,2.0,1988.0,2024-12-04,Active,6,3.4
PROP-11563,1 BHK Apartment for sale in East Austin,AUSTIN,East Austin,apartment,563195.9781367455,1687,1.0,3.0,1984.0,2025-01-24,Pending,7,3.0
PROP-10625,Residential plot of 7737 sqft in Loop,CHICAGO,Loop,Land,2619707.436476903,7737,,,,2025-03-28,Pending,1,3.5
PROP-10437,5 BHK Villa for sale in Mission District,SF,Mission District,villa,,-2245,,3.0,1984.0,2025-09-26,Active,8,4.2
PROP-13137,Commercial Space / Office in Downtown,AUSTIN,Downtown,commercial,2528772.9766296265,5384,,3.0,2019.0,2025-04-12,Sold,3,4.3
PROP-13418,4 BHK Apartment for sale in Brickell,MIAMI,Brickell,APT,862188.6525591951,1448 sqft,4.0,3.0,1985.0,2024-10-22,Sold,4,4.9
PROP-11521,Residential plot of 6402 sqft in Mission District,SF,Mission District,Land,9230878.092179582,6402,,,,2024/06/11,Sold,10,4.5
PROP-12291,1 BHK Apartment for sale in Downtown,AUSTIN,Downtown,APT,898735.1948256352,2010,,2.0,,2025-08-07,Pending,7,
PROP-11674,Commercial Space / Office in Brickell,MIA,Brickell,COMMERCIAL,3616388.42219573,6958,,9.0,2009.0,2024-10-19,Pending,8,4.5
PROP-13425,4 BHK Villa for sale in Lincoln Park,CHI,Lincoln Park,villa,942151.8578320049,2090,4.0,2.0,1987.0,2024-12-20,Sold,9,4.6
PROP-13224,Commercial Space / Office in South Beach,MIAMI,South Beach,COMMERCIAL,4115679.0956248473,7696,,3.0,1988.0,2024-03-21,Sold,7,4.7
PROP-10942,Residential plot of 8068 sqft in Brickell,Miami,Brickell,plot,4666943.061211255,8068,,,,2024-08-01,Sold,3,3.9
PROP-13041,3 BHK Apartment for sale in Brickell,miami,Brickell,Apartment,838103.5429540215,1484,3.0,3.0,1975.0,2025-01-04,Active,1,4.2
PROP-12155,4 BHK Apartment for sale in Pacific Heights,SAN FRANCISCO,Pacific Heights,APT,1401048.7856309966,678,4.0,3.0,2016.0,2025-01-06,Sold,4,3.9
PROP-11600,4 BHK Apartment for sale in South Beach,MIAMI,South Beach,Apt,765526.3474530408,1184,4.0,3.0,,2025-01-24,Sold,3,3.0
PROP-12821,Residential plot of 5172 sqft in Marina,San Francisco,Marina,plot,5214497.817097742,5172,,,,2025-05-29,Active,3,4.0
PROP-11999,4 BHK Apartment for sale in Manhattan,New York,Manhattan,Apartment,3831731.924709204,1863,4.0,1.0,2001.0,2024-12-16,Pending,10,4.9
PROP-10714,Residential plot of 9102 sqft in Manhattan,N.Y.,Manhattan,plot,18038552.247552387,9102,,,,2025-03-18,Sold,4,4.7
PROP-13452,Residential plot of 7536 sqft in East Austin,Austin,East Austin,Plot,2724513.17130553,7536,,,,2025-08-22,Active,2,4.1
PROP-12548,Residential plot of 4531 sqft in Lincoln Park,chicago,Lincoln Park,land,"$2,484,135",4531,,,,2025-09-15,Pending,2,4.3
PROP-10050,Residential plot of 1753 sqft in Bronx,new york,Bronx,Plot,1594213.0917698753,1753,,,,2024-02-27,Pending,7,3.3
PROP-12115,Residential plot of 2185 sqft in Pacific Heights,SAN FRANCISCO,Pacific Heights,Land,4299568.061048478,2185,,,,2024-01-03,Pending,8,4.2
