Property_ID,Title,City,Locality,Property_Type,Price_USD,Area_SqFt,Bedrooms,Bathrooms,Year_Built,Listing_Date,Status,Demand_Score,Customer_Rating,Price_Per_SqFt,Property_Age,Investment_Score
PROP-10019,1 BHK Apartment for sale in Pacific Heights,San Francisco,Pacific Heights,Apartment,4367930.8,2286.0,1,2,1948.0,2025-04-16,Active,4,3.0,1910.73,78.0,5.0
PROP-10020,3 BHK Apartment for sale in Little Havana,Miami,Little Havana,Apartment,1255004.95,2296.0,3,1,1994.0,2024-09-28,Sold,7,3.7,546.6,32.0,6.3
PROP-10021,Commercial Space / Office in Pacific Heights,San Francisco,Pacific Heights,Commercial,40368912.86,18036.0,0,10,2003.0,2025-11-17,Pending,2,4.9,2238.24,23.0,5.2
PROP-10022,Residential plot of 5844 sqft in East Austin,Austin,East Austin,Plot,2138182.54,5844.0,0,0,1994.0,2024-07-15,Pending,3,4.2,365.88,32.0,5.2
PROP-10023,Residential plot of 8238 sqft in South Austin,Austin,South Austin,Plot,3642774.18,8238.0,0,0,1991.0,2024-08-06,Sold,3,4.3,442.19,35.0,5.3
PROP-10024,3 BHK Villa for sale in Brooklyn,New York,Brooklyn,Villa,4132270.42,3007.0,3,2,1995.0,2025-09-17,Active,8,3.8,1374.22,31.0,6.8
PROP-10025,3 BHK Villa for sale in Manhattan,New York,Manhattan,Villa,9957223.01,5605.0,3,3,1987.0,2025-04-20,Sold,10,4.8,1776.49,39.0,8.4
PROP-10026,Commercial Space / Office in Lincoln Park,Chicago,Lincoln Park,Commercial,5176046.19,9101.0,0,6,2009.0,2025-05-11,Pending,8,3.2,568.73,17.0,6.5
PROP-10027,Commercial Space / Office in SOMA,San Francisco,SOMA,Commercial,32942412.33,24147.0,0,5,1964.0,2024-12-04,Pending,3,3.4,1364.24,62.0,4.8
PROP-10028,4 BHK Apartment for sale in Little Havana,Miami,Little Havana,Apartment,572878.55,1111.0,4,2,1988.0,2025-07-13,Active,8,3.4,515.64,38.0,6.7
PROP-10029,1 BHK Apartment for sale in Marina,San Francisco,Marina,Apartment,1876375.78,1712.0,1,1,2002.0,2025-04-17,Pending,7,3.7,1096.01,24.0,6.6
PROP-10030,Commercial Space / Office in Hyde Park,Chicago,Hyde Park,Commercial,4993632.79,18675.0,0,2,1993.0,2025-10-27,Sold,1,4.5,267.4,33.0,4.7
PROP-10031,5 BHK Villa for sale in Marina,San Francisco,Marina,Villa,4507381.0,3899.0,5,3,2018.0,2024-04-27,Active,5,3.2,1156.04,8.0,5.4
PROP-10032,1 BHK Apartment for sale in Mission District,San Francisco,Mission District,Apartment,2705445.09,2241.0,1,3,2020.0,2025-06-29,Pending,2,4.0,1207.25,6.0,4.9
PROP-10033,6 BHK Villa for sale in Lincoln Park,Chicago,Lincoln Park,Villa,2312128.44,4012.0,6,5,2007.0,2025-08-29,Active,2,3.6,576.3,19.0,4.3
PROP-10034,Commercial Space / Office in Hyde Park,Chicago,Hyde Park,Commercial,3538721.5,12626.0,0,6,1981.0,2025-09-02,Pending,9,4.9,280.27,45.0,8.0
PROP-10035,2 BHK Apartment for sale in River North,Chicago,River North,Apartment,355997.84,1102.0,2,2,2008.0,2025-11-10,Pending,9,4.4,323.05,18.0,7.8
PROP-10036,2 BHK Apartment for sale in Brooklyn,New York,Brooklyn,Apartment,998629.56,892.0,2,3,1994.0,2025-08-26,Sold,10,4.1,1119.54,32.0,8.1
PROP-10037,Residential plot of 9042 sqft in Downtown,Austin,Downtown,Plot,3583790.0,9042.0,0,0,1988.0,2024-01-13,Pending,10,4.2,396.35,38.0,8.2
PROP-10038,2 BHK Apartment for sale in Bronx,New York,Bronx,Apartment,680831.0,810.0,2,3,1958.0,2024-09-11,Pending,10,4.6,840.53,68.0,8.4
PROP-10039,2 BHK Apartment for sale in Hyde Park,Chicago,Hyde Park,Apartment,436023.97,1781.0,2,2,2004.0,2024-09-02,Active,3,3.0,244.82,22.0,4.7
PROP-10040,Residential plot of 7965 sqft in Loop,Chicago,Loop,Plot,2465577.79,7965.0,0,0,1991.0,2024-08-18,Pending,3,3.1,309.55,35.0,4.7
PROP-10041,3 BHK Apartment for sale in Coral Gables,Miami,Coral Gables,Apartment,1947288.14,1910.0,3,3,1991.0,2025-05-27,Pending,2,4.2,1019.52,35.0,4.6
PROP-10042,4 BHK Apartment for sale in South Beach,Miami,South Beach,Apartment,1008665.62,1463.0,4,2,1943.0,2025-03-22,Pending,4,3.9,689.45,83.0,5.2
PROP-10043,3 BHK Apartment for sale in Hyde Park,Chicago,Hyde Park,Apartment,168461.44,680.0,3,2,1961.0,2025-02-17,Active,9,4.1,247.74,65.0,7.7
PROP-10044,Commercial Space / Office in South Austin,Austin,South Austin,Commercial,2327478.87,4978.0,0,2,2022.0,2024-09-02,Pending,9,4.4,467.55,4.0,7.7
PROP-10045,Residential plot of 8905 sqft in Marina,San Francisco,Marina,Plot,11410530.36,8905.0,0,0,1991.5,2024-09-06,Active,7,3.4,1281.36,34.5,6.1
PROP-10046,Residential plot of 1042 sqft in Queens,New York,Queens,Plot,1168938.56,1042.0,0,0,1988.0,2024-11-01,Sold,8,4.7,1121.82,38.0,7.6
PROP-10047,Residential plot of 4912 sqft in Little Havana,Miami,Little Havana,Plot,2408544.48,4912.0,0,0,1994.0,2024-08-27,Pending,1,3.6,490.34,32.0,4.0
PROP-10048,3 BHK Villa for sale in Marina,San Francisco,Marina,Villa,5100683.71,3970.0,3,5,1986.0,2025-04-12,Active,7,4.7,1284.81,40.0,6.9
PROP-10049,Commercial Space / Office in Loop,Chicago,Loop,Commercial,7631057.3,21538.0,0,9,2015.0,2025-09-24,Sold,5,5.0,354.31,11.0,6.5
PROP-10050,Residential plot of 1753 sqft in Bronx,New York,Bronx,Plot,1594213.09,1753.0,0,0,1993.0,2024-02-27,Pending,7,3.3,909.42,33.0,6.4
PROP-10051,Commercial Space / Office in SOMA,San Francisco,SOMA,Commercial,23947401.05,17307.0,0,4,1974.0,2024-09-17,Sold,3,4.8,1383.68,52.0,5.6
PROP-10052,Residential plot of 5949 sqft in East Austin,Austin,East Austin,Plot,1948389.33,5949.0,0,0,1994.0,2025-01-28,Active,4,3.8,327.52,32.0,5.5
PROP-10053,4 BHK Apartment for sale in Bronx,New York,Bronx,Apartment,2472913.53,2364.0,4,2,2019.0,2025-09-13,Active,4,4.2,1046.07,7.0,5.5
PROP-10054,2 BHK Apartment for sale in Queens,New York,Queens,Apartment,2274100.15,1999.0,2,1,1957.0,2025-03-01,Active,9,4.4,1137.62,69.0,7.8
PROP-10055,Commercial Space / Office in East Austin,Austin,East Austin,Commercial,2127189.1,5612.0,0,5,2015.0,2025-11-21,Sold,6,3.2,379.04,11.0,5.7
PROP-10056,1 BHK Apartment for sale in West Lake Hills,Austin,West Lake Hills,Apartment,937850.91,1465.0,1,3,1991.0,2025-09-16,Active,8,4.8,640.17,35.0,7.7
PROP-10057,6 BHK Villa for sale in Loop,Chicago,Loop,Villa,1070959.97,2911.0,6,5,2003.0,2025-07-07,Sold,3,4.8,367.9,23.0,5.5
PROP-10058,Commercial Space / Office in South Austin,Austin,South Austin,Commercial,6120761.11,12884.0,0,3,2022.0,2025-07-11,Sold,6,3.1,475.07,4.0,5.7
PROP-10059,3 BHK Apartment for sale in Brooklyn,New York,Brooklyn,Apartment,2751291.88,2111.0,3,1,1936.0,2024-07-29,Sold,4,4.2,1303.31,90.0,5.5
PROP-10060,Residential plot of 2801 sqft in South Austin,Austin,South Austin,Plot,1321351.0,2801.0,0,0,1991.0,2024-01-27,Pending,4,4.2,471.74,35.0,5.6
PROP-10061,Commercial Space / Office in Loop,Chicago,Loop,Commercial,3974032.48,12863.0,0,10,1997.0,2025-05-30,Sold,1,4.5,308.95,29.0,4.8
PROP-10062,Commercial Space / Office in Manhattan,New York,Manhattan,Commercial,44960908.0,23482.0,0,3,1991.0,2025-03-30,Active,8,4.2,1914.7,35.0,7.1
PROP-10063,Commercial Space / Office in West Lake Hills,Austin,West Lake Hills,Commercial,3001193.51,4249.0,0,3,2014.0,2025-07-18,Active,7,3.9,706.33,12.0,6.6
PROP-10064,Residential plot of 7132 sqft in Queens,New York,Queens,Plot,9723007.86,7132.0,0,0,1988.0,2025-04-30,Active,2,3.9,1363.29,38.0,4.5
PROP-10065,Commercial Space / Office in Queens,New York,Queens,Commercial,30774594.56,22801.0,0,8,2015.0,2024-02-22,Sold,5,3.7,1349.7,11.0,5.6
PROP-10066,Residential plot of 5564 sqft in Queens,New York,Queens,Plot,6825225.27,5564.0,0,0,1988.0,2025-03-15,Sold,10,4.6,1226.68,38.0,8.2
PROP-10067,Residential plot of 6751 sqft in Brooklyn,New York,Brooklyn,Plot,6900859.27,6751.0,0,0,1994.0,2024-05-26,Pending,2,3.3,1022.2,32.0,4.5
PROP-10068,Commercial Space / Office in Marina,San Francisco,Marina,Commercial,7354267.1,6157.0,0,7,1979.0,2025-08-04,Active,3,3.3,1194.46,47.0,4.5
PROP-10069,Residential plot of 9394 sqft in River North,Chicago,River North,Plot,2906981.0,9394.0,0,0,1986.0,2025-03-16,Sold,10,4.7,309.45,40.0,8.5
PROP-10070,5 BHK Villa for sale in Brooklyn,New York,Brooklyn,Villa,3981693.31,3893.0,5,4,1987.0,2025-03-16,Pending,9,4.2,1022.78,39.0,7.8
PROP-10071,Residential plot of 7626 sqft in Bronx,New York,Bronx,Plot,7781080.06,7626.0,0,0,1993.0,2025-03-03,Pending,1,4.9,1020.34,33.0,4.8
PROP-10072,4 BHK Apartment for sale in Downtown,Austin,Downtown,Apartment,606812.0,1392.0,4,3,1930.0,2024-11-13,Active,8,4.6,435.93,96.0,7.5
PROP-10073,2 BHK Apartment for sale in South Austin,Austin,South Austin,Apartment,412812.72,1024.0,2,1,1997.0,2025-11-02,Sold,8,3.9,403.14,29.0,7.2
PROP-10074,6 BHK Villa for sale in Coral Gables,Miami,Coral Gables,Villa,1997510.0,2359.0,6,5,2020.0,2024-10-08,Pending,9,4.5,846.76,6.0,7.8
PROP-10075,2 BHK Apartment for sale in Bronx,New York,Bronx,Apartment,2249988.52,2361.0,2,2,1997.0,2024-06-03,Pending,2,4.2,952.98,29.0,4.8
PROP-10076,Residential plot of 5634 sqft in River North,Chicago,River North,Plot,2010867.26,5634.0,0,0,1986.0,2024-12-12,Active,6,3.1,356.92,40.0,5.7
PROP-10077,3 BHK Apartment for sale in Brickell,Miami,Brickell,Apartment,1511121.64,2377.0,3,2,2003.0,2025-02-05,Sold,2,3.6,635.73,23.0,4.4
PROP-10078,Residential plot of 6940 sqft in South Beach,Miami,South Beach,Plot,3925235.49,5742.0,0,0,1990.0,2024-08-07,Pending,6,3.5,683.6,36.0,5.8
PROP-10079,4 BHK Villa for sale in Manhattan,New York,Manhattan,Villa,9669034.05,4886.0,4,3,1991.0,2025-10-01,Active,10,4.4,1978.93,35.0,8.0
PROP-10080,Commercial Space / Office in SOMA,San Francisco,SOMA,Commercial,19751332.2,13053.0,0,9,1989.0,2025-01-26,Pending,5,4.6,1513.16,37.0,6.1
PROP-10081,Residential plot of 3626 sqft in Downtown,Austin,Downtown,Plot,1520479.07,3626.0,0,0,1988.0,2025-06-09,Pending,4,4.9,419.33,38.0,6.2
PROP-10082,Commercial Space / Office in Bronx,New York,Bronx,Commercial,8061680.57,8725.0,0,8,1965.0,2024-01-29,Active,6,4.6,923.97,61.0,6.7
PROP-10083,3 BHK Apartment for sale in Marina,San Francisco,Marina,Apartment,611382.25,538.0,3,1,1939.0,2025-09-15,Active,5,3.5,1136.4,87.0,5.6
PROP-10084,3 BHK Villa for sale in Loop,Chicago,Loop,Villa,1900043.07,5316.0,3,4,1995.0,2024-07-10,Active,9,4.1,357.42,31.0,7.6
PROP-10085,Residential plot of 1266 sqft in Loop,Chicago,Loop,Plot,424103.49,1266.0,0,0,1991.0,2024-03-10,Sold,2,4.2,334.99,35.0,4.9
PROP-10086,Commercial Space / Office in Coral Gables,Miami,Coral Gables,Commercial,17390601.27,21700.0,0,4,2011.0,2025-04-13,Active,1,4.6,801.41,15.0,4.8
PROP-10087,3 BHK Apartment for sale in Little Havana,Miami,Little Havana,Apartment,494539.91,1085.0,3,1,2003.0,2024-05-07,Pending,7,4.5,455.8,23.0,7.1
PROP-10088,Commercial Space / Office in Coral Gables,Miami,Coral Gables,Commercial,12757628.86,15110.0,0,4,1994.0,2024-04-15,Sold,5,3.6,844.32,32.0,5.7
PROP-10089,Commercial Space / Office in Queens,New York,Queens,Commercial,27697741.59,21954.0,0,2,1964.0,2025-02-19,Sold,3,4.2,1261.63,62.0,5.2
PROP-10090,Residential plot of 1530 sqft in Brooklyn,New York,Brooklyn,Plot,1893886.0,1530.0,0,0,1994.0,2025-11-26,Pending,6,3.9,1237.83,32.0,6.2
PROP-10091,2 BHK Apartment for sale in East Austin,Austin,East Austin,Apartment,697676.04,2006.0,2,2,1986.0,2025-07-29,Pending,8,3.4,347.79,40.0,6.8
PROP-10092,Commercial Space / Office in Bronx,New York,Bronx,Commercial,21385385.33,23345.0,0,7,2002.0,2024-03-07,Pending,5,4.7,916.06,24.0,6.4
PROP-10093,6 BHK Villa for sale in Brickell,Miami,Brickell,Villa,2266047.21,3739.0,6,2,2003.0,2025-01-12,Sold,3,4.2,606.06,23.0,5.2
PROP-10094,Residential plot of 8372 sqft in Loop,Chicago,Loop,Plot,2900165.33,8372.0,0,0,1991.0,2025-06-13,Sold,10,5.0,346.41,35.0,8.5
PROP-10095,4 BHK Villa for sale in Brooklyn,New York,Brooklyn,Villa,5963276.11,4443.0,4,4,2013.0,2024-03-21,Sold,9,4.6,1342.17,13.0,7.7
PROP-10096,3 BHK Apartment for sale in Pacific Heights,San Francisco,Pacific Heights,Apartment,1345033.21,593.0,3,3,1946.0,2025-03-02,Active,8,4.8,2268.18,80.0,7.4
PROP-10097,4 BHK Apartment for sale in Hyde Park,Chicago,Hyde Park,Apartment,227981.82,823.0,4,2,1981.0,2024-12-14,Pending,6,4.5,277.01,45.0,6.6
PROP-10098,2 BHK Apartment for sale in South Austin,Austin,South Austin,Apartment,552851.03,1420.0,2,1,1932.0,2025-01-28,Pending,4,4.9,389.33,94.0,6.3
PROP-10099,Commercial Space / Office in Marina,San Francisco,Marina,Commercial,21960240.0,17297.0,0,2,1965.0,2025-06-01,Active,4,4.2,1269.6,61.0,5.4
PROP-10100,3 BHK Apartment for sale in Hyde Park,Chicago,Hyde Park,Apartment,233874.91,774.0,3,3,1966.0,2025-01-09,Active,10,4.4,302.16,60.0,8.0
PROP-10101,3 BHK Apartment for sale in South Beach,Miami,South Beach,Apartment,816409.68,1264.0,3,3,1966.0,2024-07-22,Pending,10,4.0,645.89,60.0,7.8
PROP-10102,5 BHK Villa for sale in Pacific Heights,San Francisco,Pacific Heights,Villa,8390913.11,4251.0,5,5,2016.0,2024-01-18,Sold,2,4.2,1973.87,10.0,4.9
PROP-10103,4 BHK Apartment for sale in Hyde Park,Chicago,Hyde Park,Apartment,219334.49,849.0,4,1,2007.0,2025-08-09,Active,4,3.0,258.34,19.0,5.0
PROP-10104,6 BHK Villa for sale in Loop,Chicago,Loop,Villa,1775661.72,4462.0,6,5,2000.0,2025-04-15,Pending,9,4.8,397.95,26.0,7.8
PROP-10105,4 BHK Villa for sale in Pacific Heights,San Francisco,Pacific Heights,Villa,8697679.74,4167.0,4,5,2000.0,2025-07-27,Sold,5,3.6,2087.28,26.0,5.6
PROP-10106,Residential plot of 6674 sqft in Pacific Heights,San Francisco,Pacific Heights,Plot,15798199.38,6674.0,0,0,1991.0,2025-11-02,Pending,4,3.4,2367.13,35.0,4.9
PROP-10107,4 BHK Villa for sale in Mission District,San Francisco,Mission District,Villa,4974363.82,3648.0,4,2,1986.0,2025-04-28,Active,1,4.9,1363.59,40.0,4.9
PROP-10108,Residential plot of 2465 sqft in Pacific Heights,San Francisco,Pacific Heights,Plot,5413012.31,2465.0,0,0,1991.0,2024-08-25,Sold,1,4.8,2195.95,35.0,4.7
PROP-10109,3 BHK Villa for sale in Bronx,New York,Bronx,Villa,4085799.06,4171.0,3,2,1999.0,2024-04-19,Pending,5,3.9,979.57,27.0,5.8
PROP-10110,Residential plot of 8518 sqft in South Austin,Austin,South Austin,Plot,4003617.76,8518.0,0,0,1991.0,2024-07-09,Pending,5,4.1,470.02,35.0,5.9
PROP-10111,1 BHK Apartment for sale in River North,Chicago,River North,Apartment,650073.11,1870.0,1,1,1937.0,2024-09-11,Pending,4,3.9,347.63,89.0,5.4
PROP-10112,2 BHK Apartment for sale in South Austin,Austin,South Austin,Apartment,507983.82,1128.0,2,2,2007.0,2024-11-14,Sold,5,3.7,450.34,19.0,5.7
PROP-10113,6 BHK Villa for sale in West Lake Hills,Austin,West Lake Hills,Villa,1875945.37,2470.0,6,4,1984.0,2024-04-24,Sold,9,4.5,759.49,42.0,7.6
PROP-10114,4 BHK Apartment for sale in Loop,Chicago,Loop,Apartment,233743.02,770.0,4,2,1991.0,2025-04-18,Pending,1,3.8,303.56,35.0,4.4
PROP-10115,Commercial Space / Office in Manhattan,New York,Manhattan,Commercial,20244163.82,10407.0,0,8,1971.0,2025-10-18,Sold,9,4.9,1945.24,55.0,7.9
PROP-10116,4 BHK Apartment for sale in Brickell,Miami,Brickell,Apartment,1025623.14,1600.0,4,3,1936.0,2024-08-16,Active,5,3.9,641.01,90.0,5.8
PROP-10117,4 BHK Apartment for sale in Pacific Heights,San Francisco,Pacific Heights,Apartment,5122508.09,2157.0,4,3,2018.0,2024-01-17,Active,2,4.2,2374.83,8.0,4.6
PROP-10118,3 BHK Apartment for sale in Lincoln Park,Chicago,Lincoln Park,Apartment,822127.68,1531.0,3,1,2013.0,2025-08-14,Sold,6,3.5,536.99,13.0,6.0
PROP-10119,Commercial Space / Office in Brickell,Miami,Brickell,Commercial,7425095.16,12285.0,0,8,2010.0,2025-03-02,Pending,7,3.4,604.4,16.0,6.4
PROP-10120,Commercial Space / Office in Marina,San Francisco,Marina,Commercial,20850202.0,19261.0,0,10,1968.0,2024-09-18,Sold,2,4.8,1082.51,58.0,5.2
PROP-10121,2 BHK Apartment for sale in West Lake Hills,Austin,West Lake Hills,Apartment,1609860.22,2147.0,2,2,1946.0,2024-12-06,Active,4,4.9,749.82,80.0,5.9
PROP-10122,5 BHK Villa for sale in Brickell,Miami,Brickell,Villa,2687256.84,4434.0,5,5,2009.0,2025-01-02,Pending,9,4.5,606.06,17.0,7.8
PROP-10123,3 BHK Villa for sale in West Lake Hills,Austin,West Lake Hills,Villa,2285300.44,2995.0,3,4,2015.0,2025-08-16,Pending,3,3.4,763.04,11.0,4.5
PROP-10124,Commercial Space / Office in East Austin,Austin,East Austin,Commercial,2091104.27,13333.0,0,7,1970.0,2025-07-13,Sold,1,4.2,156.84,56.0,5.3
PROP-10125,3 BHK Villa for sale in Bronx,New York,Bronx,Villa,2877043.0,3037.0,3,3,1993.0,2024-03-02,Sold,10,4.7,947.33,33.0,8.4
PROP-10126,Commercial Space / Office in Coral Gables,Miami,Coral Gables,Commercial,3628241.66,4506.0,0,3,1993.0,2024-07-15,Pending,6,3.5,805.2,33.0,6.1
PROP-10127,4 BHK Apartment for sale in Pacific Heights,San Francisco,Pacific Heights,Apartment,2772894.67,1330.0,4,2,1990.0,2025-10-14,Active,2,4.0,2084.88,36.0,4.7
PROP-10128,5 BHK Villa for sale in South Beach,Miami,South Beach,Villa,3606057.9,5695.0,5,2,1984.0,2024-10-14,Sold,3,3.4,633.2,42.0,4.6
PROP-10129,6 BHK Villa for sale in Loop,Chicago,Loop,Villa,1420306.09,3769.0,6,4,2004.0,2024-05-23,Sold,2,4.0,376.84,22.0,4.6
PROP-10130,4 BHK Apartment for sale in Little Havana,Miami,Little Havana,Apartment,966234.25,2104.0,4,2,1949.0,2025-01-19,Sold,10,4.1,459.24,77.0,8.0
PROP-10131,Residential plot of 2499 sqft in Marina,San Francisco,Marina,Plot,2383410.24,2499.0,0,0,1991.5,2024-11-11,Pending,2,3.3,953.75,34.5,4.5
PROP-10132,1 BHK Apartment for sale in Loop,Chicago,Loop,Apartment,621081.02,1635.0,1,3,1996.0,2025-01-29,Pending,7,4.6,379.87,30.0,6.9
PROP-10133,Residential plot of 5397 sqft in Lincoln Park,Chicago,Lincoln Park,Plot,2827580.16,5397.0,0,0,1989.5,2024-03-05,Pending,7,3.6,523.92,36.5,6.5
PROP-10134,1 BHK Apartment for sale in Lincoln Park,Chicago,Lincoln Park,Apartment,649997.01,1123.0,1,2,1962.0,2025-01-24,Pending,8,3.7,578.8,64.0,6.8
PROP-10135,5 BHK Villa for sale in Marina,San Francisco,Marina,Villa,5361877.32,4414.0,5,5,2016.0,2024-11-29,Pending,6,3.2,1214.74,10.0,5.7
PROP-10136,Residential plot of 7703 sqft in Lincoln Park,Chicago,Lincoln Park,Plot,4253935.38,7703.0,0,0,1989.5,2024-05-22,Active,5,4.3,552.24,36.5,6.0
PROP-10137,Commercial Space / Office in Little Havana,Miami,Little Havana,Commercial,6389195.99,12781.0,0,10,1998.0,2024-03-28,Active,6,3.3,499.9,28.0,5.8
PROP-10138,2 BHK Apartment for sale in West Lake Hills,Austin,West Lake Hills,Apartment,698491.94,1029.0,2,3,2015.0,2025-08-17,Active,8,3.7,678.81,11.0,6.9
PROP-10139,Commercial Space / Office in Loop,Chicago,Loop,Commercial,1686165.07,4803.0,0,4,1982.0,2025-04-11,Sold,8,3.7,351.06,44.0,6.9
PROP-10140,Residential plot of 3692 sqft in Manhattan,New York,Manhattan,Plot,7502727.78,3692.0,0,0,1991.0,2024-09-06,Sold,5,3.7,2032.16,35.0,5.5
PROP-10141,Commercial Space / Office in SOMA,San Francisco,SOMA,Commercial,30390195.07,21123.0,0,5,1988.0,2025-02-02,Active,6,3.6,1438.73,38.0,6.0
PROP-10142,Residential plot of 8496 sqft in Brickell,Miami,Brickell,Plot,4507229.06,8496.0,0,0,1995.5,2025-11-17,Sold,6,4.2,530.51,30.5,6.6
PROP-10143,1 BHK Apartment for sale in Lincoln Park,Chicago,Lincoln Park,Apartment,530187.85,1141.0,1,1,1959.0,2025-01-17,Sold,7,3.8,464.67,67.0,6.8
PROP-10144,Residential plot of 4065 sqft in SOMA,San Francisco,SOMA,Plot,5374432.46,4065.0,0,0,1992.0,2025-04-06,Pending,3,4.0,1322.12,34.0,5.2
PROP-10145,Commercial Space / Office in River North,Chicago,River North,Commercial,6071374.34,17013.0,0,4,1965.0,2024-08-13,Pending,4,4.1,356.87,61.0,5.5
PROP-10146,Residential plot of 9880 sqft in South Beach,Miami,South Beach,Plot,6501731.27,9880.0,0,0,1990.0,2024-02-12,Pending,10,4.4,658.07,36.0,8.0
PROP-10147,Residential plot of 8193 sqft in Bronx,New York,Bronx,Plot,8727213.55,8193.0,0,0,1993.0,2024-04-30,Active,4,4.6,1065.2,33.0,5.7
PROP-10148,5 BHK Villa for sale in Lincoln Park,Chicago,Lincoln Park,Villa,1214108.42,2286.0,5,4,2018.0,2024-11-27,Pending,5,4.1,531.11,8.0,5.9
PROP-10149,4 BHK Villa for sale in Loop,Chicago,Loop,Villa,1110024.33,4016.5,4,3,2000.0,2025-11-23,Active,10,4.6,276.37,26.0,8.6
PROP-10150,Commercial Space / Office in East Austin,Austin,East Austin,Commercial,7819015.08,20069.0,0,2,2015.0,2024-04-05,Pending,6,4.7,389.61,11.0,6.6
PROP-10151,Residential plot of 9967 sqft in Hyde Park,Chicago,Hyde Park,Plot,2856008.23,9967.0,0,0,1993.0,2025-08-02,Pending,1,4.2,286.55,33.0,4.4
PROP-10152,2 BHK Apartment for sale in Marina,San Francisco,Marina,Apartment,918950.61,914.0,2,3,1958.0,2024-10-07,Pending,5,3.2,1005.42,68.0,5.6
PROP-10153,4 BHK Apartment for sale in Marina,San Francisco,Marina,Apartment,1078933.3,937.0,4,1,1936.0,2025-06-15,Active,1,4.4,1151.48,90.0,4.5
PROP-10154,3 BHK Apartment for sale in Loop,Chicago,Loop,Apartment,474149.12,1252.0,3,1,1968.0,2024-05-16,Sold,3,3.1,378.71,58.0,4.4
PROP-10155,4 BHK Villa for sale in Marina,San Francisco,Marina,Villa,3140473.5,2623.0,4,2,2017.0,2024-12-25,Pending,3,3.5,1197.28,9.0,4.7
